event_type,event_year,event_month,event_day,event_talk_title,event_plenary,event_name,event_location,event_country,event_website,event_invited,event_additional,event_remote,event_poster,event_presentation_file
School,2022,4,4 to 7,Introduction to Mathematical Epidemiology (18 hours course),1,3MC Course on Epidemiological Modelling,Johannesbug,South Africa,http://natural-sciences.nwu.ac.za/paa/3MC-Course-EM,,,,,https://julien-arino.github.io/3MC-course-epidemiological-modelling/
School,2022,2,18,Modelling the spatio-temporal spread of infectious pathogens using metapopulations,,Fields Institute Course on Mathematical Epidemiology,"Fields Institute, Toronto, Ontario",Canada,,1,,1,,https://julien-arino.github.io/presentations/2022-02-18_Fields_course.html
Seminar,2021,12,3,Considerations about case importations in the context of COVID-19,,Colloquium of the Department of Mathematics and Statistics,"University of Winnipeg, Winnipeg, Manitoba",Canada,,1,,1,0,https://julien-arino.github.io/presentations/2021-12-03_UofW.html
Seminar,2021,11,,Spatio-temporal spread of infectious pathogens in discrete space,,Applied Mathematics Seminar,"Department of Mathematics, University of Louisville, Kentucky",USA,,1,,0,0,
Seminar,2021,11,,Considerations on the spatial and temporal spread of infectious pathogens in the COVID-19 era,,Colloquium of the Department of Mathematics,"University of Louisville, Kentucky",USA,,1,,0,0,https://julien-arino.github.io/presentations/2021-11-05_Louisville_colloquium.html
Conference,2021,9,16,The spatio-temporal spread of infectious pathogens: lessons learned from COVID-19,0,"CCDM 2021 China-Canada Symposium on 'Modelling, Prevention and Control of Infectious Diseases'",Northeast Normal University,China,https://www.yorku.ca/science/cdm/event/ccdm-2021-china-canada-symposium-on-modelling-prevention-and-control-of-infectious-diseases/,1,,1,0,https://julien-arino.github.io/presentations/2021-09-16_CCDM_Canada_China_symposium.html
Conference,2021,6,,"Mobility, case importations and spatio-temporal spread of infection in the context of COVID-19",1,Metropolis North America (MNA) Migration Policy Forum,"Winnipeg, Manitoba",Canada,,1,,1,0,
Seminar,2021,6,,Risk of importation of COVID-19 and its variants,,Colloquium,"Centre Borelli, Université de Paris",France,,,,1,0,
Conference,2021,5,,Risk of importation of COVID-19 and its variants,0,University of Manitoba Data Science Nexus Conference,"Winnipeg, Manitoba",Canada,,1,,1,0,
Seminar,2021,5,,Importation versus community based transmission of a novel variant : Role of travel control measures,,Colloquium,"Institut Pierre Louis d’Epidémiologie et Santé Publique (IPLESP), Université Paris Sorbonne",France,,,,1,,
